,pdal,,python,,matlab,
name,single,optimized,single,optimized,single,optimized
samp11,79.65,78.90,80.65,81.22,82.40,83.12
samp12,93.55,90.95,93.60,93.94,93.80,94.15
samp21,92.12,95.40,94.50,95.70,94.43,96.77
samp22,68.51,69.27,91.78,91.89,92.07,92.21
samp23,88.52,80.10,88.20,91.73,87.02,90.73
samp24,88.78,83.60,90.36,91.41,89.49,91.13
samp31,93.34,95.29,94.72,97.63,95.00,98.17
samp41,88.35,87.93,77.34,76.86,78.41,88.18
samp42,90.77,93.56,93.30,95.16,93.07,96.48
samp51,81.19,89.43,89.70,94.99,90.74,95.76
samp52,74.39,74.49,79.09,79.60,78.80,81.04
samp53,59.05,57.94,47.92,68.22,47.24,68.12
samp54,85.60,94.90,91.91,95.19,92.65,95.44
samp61,84.20,81.49,78.40,86.97,73.38,87.22
samp71,79.00,86.68,89.05,91.22,90.52,91.81
,,,,,,
mean,83.13,84.00,85.37,88.78,85.27,90.02
median,85.60,86.68,89.70,91.73,90.52,91.81
